zip,type,year_built,listPrice,lastSoldPrice,list_to_sold_ratio,sqft,price_per_sqft,stories,beds,baths,baths_full,baths_full_calc,garage,sanitized_text
86315,single_family,2005.0,600080.0,590065.0,0.9833,1960.0,301.05,,3.0,2.0,2.0,2.0,3.0,"Pride of ownership shows in every inch of this home. The kitchen is the heart of this house, with beautiful granite counters and island. Exterior of the home is Hardie board siding and roof is 3 years old."
85255,single_family,1998.0,1350076.0,1350060.0,1.0,2930.0,460.77,2.0,5.0,4.0,3.0,3.0,3.0,"McDowell Mountain Ranch is a premier master-planned community located in North Scottsdale. The 101 Freeway is 5 minutes away, as well as restaurants, shopping, groceries, and so much more. The HOA hosts several events throughout the year for everyone to enjoy and connect with neighbors."
86409,single_family,1998.0,334944.0,334934.0,1.0,2210.0,151.55,1.0,4.0,2.0,1.0,2.0,,Freshly Updated! Modern Interior on 1 Full Acre with horse privileges. New paint and brand-new flooring throughout this stunning property will take your breath away.
85741,single_family,1979.0,250092.0,215080.0,0.86,1630.0,131.95,1.0,4.0,2.0,2.0,2.0,,"Solar will be paid off at closing at Tucson's shared-use path. Only.3 mi or [ADDRESS REDACTED], Tucson's path totals 120 miles."
85140,single_family,2005.0,429828.0,409918.0,0.9537,2020.0,202.93,1.0,4.0,2.0,2.0,2.0,2.0,This Home has an Assumable VA Loan at 3.875% saving approx. [PRICE REDACTED] per month.
85718,single_family,1994.0,1495075.0,1450078.0,0.9699,3630.0,399.47,1.0,4.0,3.0,3.0,3.0,3.0,"Ray Birch designed Santa Fe style home in Hacienda del Sol Estates, Tucson, is located on a 1.44 acre lot. The home features an ideal floor plan with 3,629 square feet, 4 bedrooms, 3 bathrooms, plus a dedicated office/den."
85283,single_family,1973.0,480068.0,464941.0,0.9685,1610.0,288.78,1.0,3.0,2.0,2.0,2.0,2.0,"Popular Tempe Lakes neighborhood with quiet, private lot. Features spacious, open design with vaulted ceilings plus loads of window space. Fireplace in vaulted family room open to kitchen. Wood laminate floors in all bedrooms."
85658,single_family,2002.0,548941.0,540060.0,0.9838,1890.0,285.75,1.0,2.0,2.0,2.0,2.0,2.0,"Extended Portland model with many upgrades- extended living/dining, extended garage & more. Beautifully landscaped, front courtyard, extended flagstone covered patio, raised sitting area & more on NE facing backyard with views of mountains & 14th fairway."
85009,single_family,1963.0,349997.0,349804.0,0.9994,1610.0,217.27,1.0,4.0,2.0,2.0,2.0,,"Grea Remodeled Home with Flexible Living & Income Potential offers modern finishes and versatile living spaces. In the backyard, you'll find an 18' x 9' worksho."
85658,single_family,2009.0,624708.0,624735.0,1.0,2350.0,265.84,1.0,3.0,3.0,2.0,2.0,3.0,"Miramonte-built home offers 3 bedrooms + den/flex, 3 bathrooms, 2,350 sq ft, 3-car garage with 10' & 12' ceilings. Seller will credit Buyer toward closing costs for a rate buydown."
85658,single_family,2003.0,724818.0,714945.0,0.9864,2540.0,281.47,1.0,3.0,2.0,2.0,2.0,2.0,"Located above the 9th fairway boasting 2,542 sq ft, the home is located above the Ritz Carlton Dove Mountain. The home boasts three bedrooms, a den/office with built in furniture and a newer electric fireplace."
85266,single_family,2018.0,1299970.0,1275073.0,0.9808,2190.0,582.23,1.0,3.0,3.0,3.0,3.0,2.0,Discover This Stunning Semi-Custom Luxury Home in The Exclusive Gated Enclave On The Eighth Community in North Scottsdale. Enjoy Majestic Views & An Iconic Location in This Boutique Development.
85338,single_family,2022.0,549091.0,547450.0,0.997,2770.0,197.64,1.0,5.0,3.0,3.0,3.0,3.0,"Lg chef's kitchen equipped w/plenty of cabinet space, oversized island, granite counters, huge walk-in pantry & S/S appliances including gas cooktop, wall oven and refrigerator. Private backyard w/covered patio and artificial turf where you can sit back and enjoy mountain views."
85742,single_family,2007.0,729077.0,574933.0,0.7886,2380.0,241.57,1.0,4.0,3.0,3.0,3.0,3.0,"The thoughtfully designed open layout provides 2,382 SQ FT, double dining and living, 4 bedrooms, plus large den, 3 full bathrooms and a fireplace."
85383,single_family,2009.0,905072.0,874907.0,0.9667,2140.0,408.84,1.0,2.0,2.0,2.0,2.0,2.0,"Resort-style living on the golf course in Trilogy at Vistancia, Arizona. Enjoy a heated pool with rock waterfall, in-ground cleaning system, covered patio, artificial turf, and view fencing."
85742,single_family,2020.0,679072.0,659963.0,0.9719,2560.0,257.8,1.0,5.0,3.0,3.0,3.0,3.0,"The roof and fully paid solar system are both just 5 years old, offering peace of mind and long-term savings. Located near multiple parks, hiking and biking trails, and even a nearby 1-acre dog park."
85118,single_family,2002.0,500061.0,499915.0,0.9997,1870.0,267.33,1.0,3.0,2.0,2.0,2.0,2.0,Peralta Trails is located in the popular gated community of PeralTA Trails. The split floor plan offers neutral tile flooring and an eat in kitchen featuring pull out drawers and Corian countertops.
85390,single_family,1970.0,599846.0,525074.0,0.8753,2720.0,193.04,1.0,4.0,4.0,3.0,3.0,,The Collins Addition Neighborhood is located in the historic Collins Additions neighborhood. The property is a unique property in an authentic historic town known for CULTURE & ART.
86314,single_family,2020.0,518078.0,507068.0,0.9787,1750.0,289.75,,3.0,2.0,2.0,2.0,2.0,"The 3 bedroom, 2 bathroom home is nestled in the highly desired Granville community just minutes away from retail shopping, restaurants, medical services, and outdoor recreation areas. The extended 2.19 acres of land with an extended length covered back patio makes those spring days peaceful and relaxing."
85268,single_family,2023.0,1537405.0,1537417.0,1.0,4030.0,381.49,2.0,4.0,4.0,3.0,3.0,3.0,"Private hillside gated community in Ft Hills. Enjoy privacy & comfortable AZ style living in a luxury contemporary 4 bdrm, 3.5 bath hm that offers breathtaking panoramic views & top of the line living style."
85251,single_family,2024.0,4998947.0,4675080.0,0.9352,5210.0,897.33,1.0,5.0,7.0,5.0,5.0,3.0,"Five bedrooms and six-and-a-half baths across 5,213 square feet on a generous one-third-acre lot."
85138,single_family,2022.0,544907.0,536934.0,0.9854,2500.0,214.77,1.0,3.0,3.0,2.0,2.0,3.0,"This home is on the LAKE, GRAB YOUR PEDAL BOATS and enjoy the Sunset. Built 2022 with a 3-CAR GARAGE with a paver driveway, RV GATE and stone accents."
85375,single_family,2005.0,548908.0,540061.0,0.9839,1620.0,333.37,1.0,3.0,3.0,3.0,3.0,2.0,"Corte Bella Country Club hone is designed w/a versatile Great Room that combines style, comfort, and functionality. New roof underlayment, HVAC system, and water heater are recent improvements."
85379,single_family,2005.0,649936.0,649904.0,1.0,4240.0,153.28,2.0,5.0,4.0,3.0,3.0,3.0,"Mountain Gate Community, Mountain Gate, is a gorgeous energy-efficient home. Sleek interior showcases wood-look tile flooring, archways, ceiling fans, abundant natural light, plantation shutters, surround sound, and vaulted ceilings."
85387,single_family,2019.0,884918.0,915058.0,1.0341,3070.0,298.06,1.0,4.0,3.0,3.0,3.0,3.0,"Gorgeous custom-built 4 bed, 3 bath, 3,072 sq ft home on a full 1-acre lot in a custom home neighborhood. Interior features include stone accent walls, wood ceiling beams, granite countertops, upgraded flooring, and bathrooms finished with floor-to-ceiling natural stone."
85375,single_family,2003.0,494942.0,484902.0,0.9797,1900.0,255.21,1.0,2.0,2.0,2.0,2.0,2.0,Popular San Marco model in Corte Bella. New Water Heater and Water Conditioner 2024.
85340,single_family,1981.0,625088.0,599926.0,0.9597,2570.0,233.43,2.0,3.0,4.0,3.0,3.0,2.0,The Wigwam Golf Course is located on the 12th fairway in a peaceful cul-de-sac. Each bedroom features its own private ensuite including a main-level suite with stunning updates.
86333,single_family,2008.0,664985.0,624900.0,0.9397,2510.0,248.96,,3.0,2.0,2.0,2.0,3.0,"Bensch Ranch, Arizona, has 3 bedrooms, 2 bathrooms, and 2,508 sq ft of thoughtfully designed living space. Built with 2x6 exterior walls and energy-smart features, the home showcases tasteful finishes and abundant natural light."
85629,single_family,2021.0,414932.0,414932.0,1.0,2630.0,157.77,2.0,5.0,3.0,3.0,3.0,2.0,"Two-story home features 5 bedrooms with first-floor guest suite & adjacent full bath. The upper level boasts a loft, 2 full bathrooms, laundry room, & large primary suite. The backyard features an extended covered patio with fans, speakers, gutters, gas fireplace, turf, lime tree, & putting green."
85716,single_family,1954.0,547947.0,548078.0,1.0002,2080.0,263.5,1.0,4.0,4.0,3.0,3.0,3.0,The 615 sq ft 1-bed 1-bath casita has its own 1/2 bath and upgraded electric for welding or whatever you OR the renter might need - alley entrance to casita and garage has remote custom gate - Expand that casita into the 3
85338,single_family,2014.0,499801.0,509081.0,1.0186,2490.0,204.45,1.0,3.0,4.0,3.0,3.0,2.0,"The owner's suite is complete with a raised dual sink vanity, soaking tub and walk-in closet. Other features include 20 inch tile flooring, shiplap and chair-rail accents. The relaxing backyard features an extended covered patio, pergola and custom walkways."
85331,single_family,2014.0,1474928.0,1475067.0,1.0001,3040.0,485.22,1.0,4.0,3.0,3.0,3.0,3.0,"The entire property has been taken to the next level, inside and out. The owner's bath was renovated to include a re-designed walk-in shower, free standing tub, quartz counters, new sinks, mirrors, lighting and one-piece toilet."
85339,single_family,2008.0,383905.0,382061.0,0.9952,1910.0,200.03,2.0,3.0,3.0,2.0,2.0,2.0,"Pulte-built home offers 3 bedrooms, 2.5 baths, and a spacious loft. Located in the rapidly growing Laveen community, which has quickly become one of the Valley's most desirable areas. New Loop 202 South Mountain Freeway provides convenient access throughout the metro Phoenix area."
86442,single_family,1980.0,259816.0,244924.0,0.9427,1860.0,131.68,,3.0,3.0,2.0,3.0,2.0,"The 1860 s f 3 bedrooms 3 bathrooms house has an excellent location close to the Colorado River. House was updated in 2015 with dual pane window blinds & screens throughout, paint inside & out and more."
85374,single_family,1999.0,448911.0,448917.0,1.0,1870.0,240.06,1.0,2.0,2.0,2.0,2.0,3.0,"The Grand offers 2 spacious bedrooms, 2 bathrooms, and a versatile den perfect for a home office or hobby room. Enjoy your private backyard with a covered patio, sparkling pool, and above-ground spa. The 3-car garage adds extra storage."
85020,single_family,1949.0,284912.0,284937.0,1.0001,1060.0,268.81,1.0,3.0,2.0,2.0,2.0,1.0,"The interior is clean and fully habitable right now, but it offers the perfect blank canvas for a buyer willing to apply some TLC to unlock its full market value. The heavy lifting outside has already been handled."
86301,single_family,2002.0,589059.0,579911.0,0.9845,1580.0,367.03,,3.0,2.0,2.0,2.0,2.0,The serene backyard is designed to take it all in -- enjoy sunrise coffee in the morning and unwind with a glass of wine as the sun sets over the horizon.
85741,single_family,1979.0,349932.0,345082.0,0.9861,1960.0,176.06,1.0,4.0,2.0,2.0,2.0,,"Perfect location, Shopping, Hospitals, I-10 access, all schools. Newly Painted, with new carpets and new plank tile floors. Beautiful pool with slide."
86406,single_family,1997.0,514973.0,503058.0,0.9769,2070.0,243.02,1.0,3.0,2.0,2.0,2.0,3.0,"Lake Havasu City home features 3 bedrooms, 2 baths, and a 3-car garage. Features a thoughtfully designed split floor plan ideal for both comfort and privacy."
85747,single_family,2004.0,400075.0,377403.0,0.9433,2200.0,171.55,1.0,4.0,2.0,2.0,2.0,3.0,"Desert Willow Estates offers 2,198 sq ft of comfortable living with an open floor plan, formal dining room, and spacious family room. The 3-car garage offers an epoxy-coated floor for durability and easy maintenance."
85755,single_family,1990.0,360052.0,359948.0,0.9997,1090.0,330.23,1.0,2.0,2.0,2.0,2.0,1.0,"Sun City Oro Valley has an award-winning championship 18-hole golf course, tennis, pickleball, restaurant, expansive recreation centers, over 130 clubs and activities. The home is situated on a fully fenced lot w/stunning mountain views."
85138,single_family,2022.0,325077.0,325083.0,1.0,1850.0,175.72,1.0,4.0,2.0,2.0,2.0,2.0,The Trails at Tortosa has a great open floorplan with split bedrooms. The back yard is private and oversized and can be turned into an entertainment space. The community pool and amenities are fantastic in this community.
86413,single_family,2022.0,299957.0,298072.0,0.9937,1490.0,200.05,1.0,3.0,2.0,1.0,2.0,3.0,"Rarely lived in, this home shows like new and features RV gates, a large shed, and a low-maintenance rock-landscaped backyard. Enjoy added privacy with no neighbors on the east side of the property, along with stunning mountain views."
85143,single_family,2007.0,449912.0,424917.0,0.9444,2340.0,181.59,1.0,4.0,2.0,2.0,2.0,3.0,"The fabulous interior features plantation shutters, tons of natural light, neutral paint, and tile flooring w/carpet in bedrooms. The inviting family room, with surround sound, seamlessly flows onto the kitchen & cozy dining area."
85382,single_family,1998.0,644916.0,630089.0,0.977,2170.0,290.36,1.0,3.0,2.0,2.0,2.0,3.0,"Absolutely Stunning 3 Bedroom + Den, 2 Bath, Single Level Home Located in Desired Westbrook Village, Remodeled Kitchen w/Custom Cabinets & Granite Countertops."
85308,single_family,1997.0,393097.0,380085.0,0.9669,1560.0,243.64,2.0,3.0,3.0,2.0,2.0,2.0,"1st Floor features tile flooring, guest bath and a private laundry room. 2.5 bath home with vaulted ceilings gives this home an open and bright feel. Kitchen features a gas range, granite countertops, back splash and back splash."
85254,single_family,1981.0,1374912.0,1325083.0,0.9638,2220.0,596.88,1.0,4.0,3.0,2.0,2.0,2.0,"The 4-bedroom, 2.5-bath cul-de-sac home is located near Kierland Commons & Scottsdale Quar. The primary suite includes large-format tile, a curbless shower with three body sprayers, and Delta fixtures throughout the home."
85254,single_family,1972.0,1097832.0,1064908.0,0.97,2510.0,424.27,1.0,4.0,2.0,2.0,2.0,3.0,A massive 22'x57' driveway offers RV or boat parking-all within the Paradise Valley School District. Oversized 30'x30' 3-car garage with 10' ceilings is perfect for tons of storage and workshop.
85310,single_family,1994.0,614901.0,625085.0,1.0166,2430.0,257.24,2.0,4.0,3.0,3.0,3.0,3.0,"Beautiful 4 bed/3 bath home in Arrowhead Ranch community. Located near top-rated schools, parks & freeway access."
86301,single_family,2011.0,819070.0,789909.0,0.9644,2150.0,367.4,,3.0,3.0,3.0,3.0,3.0,"The Blooming Hills Estates home backs to HOA open space and a seasonal creek, offering privacy, distant views, and a peaceful natural setting."
85375,single_family,1983.0,369834.0,359930.0,0.9732,2020.0,178.18,1.0,2.0,2.0,2.0,2.0,2.0,"Sun City West is the premier 55+ community in Sun City West, with the most affordable home in the world. The home has been remodeled and is now offered at a new price."
85037,single_family,1971.0,314904.0,309940.0,0.9842,1030.0,300.91,1.0,2.0,2.0,2.0,2.0,1.0,"The primary suite features its own ensuite bath and two closets-one walk-in. Outside, enjoy a private backyard with a covered patio, RV gate, covered carport, and 1.5-car tandem garage."
85365,single_family,2022.0,509932.0,522061.0,1.0238,2860.0,182.54,,5.0,3.0,2.0,3.0,3.0,"The 5-bedroom residence is nestled within a quiet cul-de-sac in one of the most sought-after subdivisions. The home boasts five generously-sized bedrooms, including a luxurious primary suite with a luxurious walk in shower and spacious walk-in closet."
85233,single_family,1990.0,750053.0,714919.0,0.9532,3290.0,217.3,2.0,5.0,3.0,3.0,3.0,3.0,"Long-term tenants are a Licensed Sober Living Home and have a lease until the end of March 2026. Great location, well maintained single family home with high ceilings and fresh paint. Updated AC units are 2021 & 2024."
85018,single_family,2025.0,2755073.0,2650077.0,0.9619,3780.0,701.08,1.0,5.0,6.0,5.0,5.0,2.0,"Arcadia Lite is a quiet, walkable Arcadia Lite street in Arcadia, New York. With five bedrooms and five-and-a-half baths, the layout offers comfort and privacy for everyone-ideal for families, guests, or a dedicated office/gym setup."
85024,single_family,2022.0,1395090.0,1395053.0,1.0,3510.0,397.45,2.0,4.0,5.0,4.0,4.0,3.0,"Built in 2022, this beautifully designed 4-bedroom + office, 4.5-bath home offers modern luxury and thoughtful design. The open-concept floor plan centers around a chef's kitchen with premium appliances, a striking waterfall island, and walk-in pantry."
86047,single_family,1952.0,189941.0,190060.0,1.0006,150.0,1267.07,1.0,3.0,1.0,1.0,1.0,1.0,"The three-bedroom, one-bathroom home is just one block from historic Route 66. It is just two blocks from the famous ''Standing on the Corner'' Park."
85331,single_family,1998.0,760073.0,740099.0,0.9737,2350.0,314.94,2.0,4.0,3.0,2.0,2.0,3.0,"Tatum Highlands, Tatum, is located in the heart of the Tatum Mountains. The home has a great curb appeal, low maintenance landscape and 3 garage spaces. The primary suite boasts soft carpet, a walk-in closet, and a full bath w/dual sinks."
85041,single_family,2014.0,359944.0,359913.0,0.9999,1800.0,199.95,2.0,4.0,3.0,2.0,2.0,2.0,"Move into this charming two-story residence in Tierra Vista Community. Discover an appealing interior featuring wood-look flooring, fresh neutral paint, ceiling fans, and an inviting living room."
85122,single_family,2006.0,324985.0,320088.0,0.9849,1890.0,169.36,1.0,3.0,2.0,2.0,2.0,2.0,"The home is well maintained and has a great outdoor space for sitting and enjoying your coffee. The Lake community features fishing, walking trails, several playgrounds, a multipurpose field, and tennis & basketball courts."
85207,single_family,2018.0,975074.0,965060.0,0.9897,2360.0,408.92,1.0,3.0,3.0,3.0,3.0,3.0,"The Mountain Bridge community offers a quiet setting with the added benefit of no neighbors behind. Upgrades include 4-foot extensions in Bedroom 2 and the primary suite, a family room fireplace, a dry bar with wine fridge."
85552,single_family,2004.0,488066.0,487947.0,0.9998,2960.0,164.85,2.0,6.0,4.0,4.0,4.0,3.0,"The upstairs primary suite is a true retreat, featuring a cozy reading nook. Four additional bedrooms are conveniently located down the hall on the main level. The bright, modern kitchen features quartz countertops, an induction stovetop, built-in oven and microwave."
85361,single_family,2026.0,390051.0,390054.0,1.0,1700.0,229.44,1.0,3.0,2.0,2.0,2.0,2.0,"The ''Lark'' is a beautifully designed home and is specifically placed on a full-size corner lot with no neighbors located behind. With a 2-car garage, Smart Home Technology, stainless appliances, Quartz counters, & Wood-Look Ceramic tile flooring, it is an ideal home for gracious comfortable living."
85296,single_family,2010.0,514922.0,515093.0,1.0003,1890.0,272.54,1.0,4.0,2.0,2.0,2.0,2.0,"Gorgeous single level in Higley Park. Features 4 bedrooms, 2 bathrooms, almost 1900sf of living space, 2 car garage, covered patio, and a nice grassy yard to play in. North south exposure, granite counters, wood flooring, farmhouse decor, owned solar, and owned solar."
85206,single_family,1993.0,424916.0,427925.0,1.0071,1560.0,274.31,1.0,3.0,2.0,2.0,2.0,2.0,"This home is pride of ownership, renovated and move-in ready. Showings will start Saturday January 7 at 9 a.m. HVAC replaced in July 2023."
85339,single_family,2026.0,640087.0,639900.0,0.9997,4120.0,155.32,2.0,5.0,4.0,3.0,3.0,3.0,"Diamond floorplan home offers 5 spacious bedrooms, a versatile upstairs loft, and 3.5 bathrooms. The striking craftsman-style exterior welcomes you home with timeless curb appeal."
86409,single_family,1993.0,200072.0,190074.0,0.95,1070.0,177.64,1.0,3.0,2.0,2.0,3.0,2.0,The detached garage provides ample space for parking or additional storage. There is also additional parking in front.
85226,single_family,1985.0,383058.0,370074.0,0.9661,1100.0,336.43,1.0,2.0,2.0,2.0,2.0,2.0,Beautiful home with large-format tile flooring flows throughout the main living spaces. The kitchen features warm maple cabinetry and an open pass-through to the dining area. Recent upgrades include a newer roof and exterior paint.
85016,single_family,1973.0,589092.0,564920.0,0.959,1910.0,295.77,1.0,3.0,2.0,2.0,2.0,,"The Biltmore area of Phoenix, Arizona, has a new HVAC, dual-pane windows and dual-Pane windows. Solar panels will be paid off in full at closing."
85710,single_family,1954.0,319082.0,300902.0,0.943,1620.0,185.74,1.0,3.0,2.0,2.0,2.0,1.0,"The main bedroom boasts new soft carpet & a private bathroom with a fully tiled shower. The eat-in galley kitchen enjoys a modern chandelier over the dining area, newly installed crowned cabinets, & durable countertops."
85351,single_family,1974.0,349085.0,330072.0,0.9455,1600.0,206.3,1.0,2.0,2.0,2.0,2.0,2.0,"The spacious living and dining areas provide flexible space for everyday living or hosting friends and family. The 2 car garage showcases durable epoxy floors, adding a clean, finished look with low maintenance appeal."
85308,single_family,1992.0,540054.0,539920.0,0.9998,2130.0,253.48,1.0,3.0,2.0,2.0,2.0,2.0,"Great 3/2, golf course lot."
85338,single_family,2026.0,442925.0,430894.0,0.9728,2010.0,214.38,1.0,3.0,2.0,2.0,2.0,2.0,"The Acerra floor plan features three bedrooms, two bathrooms, and a two-and-a-half-car garage. This home includes the upgraded Classic Natural package and offers a well-designed kitchen."
85014,single_family,1948.0,599089.0,600068.0,1.0016,1520.0,394.78,1.0,3.0,2.0,2.0,2.0,,"Built in 1948, this beautifully remodeled 3-bedroom, 2-bathroom residence retains its old-fashioned charm. The kitchen is both functional and stylish, featuring granite countertops, a gas stove, and a center island that anchors the space beautifully."
85254,single_family,1997.0,1449908.0,1400092.0,0.9656,2530.0,553.4,1.0,4.0,3.0,3.0,3.0,3.0,"The 4-bedroom+Den 3-bathroom home is the perfect blend of modern luxury and timeless design. The kitchen is a true masterpiece, featuring a large 36'' range, custom hood, brand-new appliances, and sleek cabinetry."
85037,single_family,2026.0,424918.0,424913.0,1.0,1960.0,216.79,2.0,3.0,3.0,2.0,2.0,2.0,"Western Garden is a brand-new master-planned community located in Phoenix, AZ. Residents here enjoy close proximity to State Farm Stadium, Westgate Entertainment District & Wildlife World Zoo as well as exclusive onsite amenities."
85375,single_family,1996.0,399991.0,399806.0,0.9995,1440.0,277.64,1.0,2.0,2.0,2.0,2.0,2.0,"Major upgrades include a NEW HVAC system and ROOF UNDERLAYMENT (w/warranty) in 2023. Mohawk Engineered wood plank flooring flows throughout, and all interior walls have been re-textured and freshly painted."
86442,single_family,1988.0,248908.0,248927.0,1.0001,1140.0,218.36,1.0,2.0,2.0,1.0,2.0,2.0,"Two-bedroom, two-bath partially furnished gem overlooks the stunning Colorado River from its elevated position. Situated on an impressive 10,780 sq ft lot, this property boasts gated and fenced RV parking, perfect for all your desert toys."
85302,single_family,1999.0,359969.0,359818.0,0.9996,1620.0,222.11,1.0,3.0,2.0,2.0,2.0,2.0,"The kitchen offers ample storage and workspace, flowing seamlessly into the main living area. Outside, enjoy a manageable yard with space to relax, garden, or entertain. The home combines accessibility with neighborhood charm."
85396,single_family,2012.0,549095.0,549066.0,0.9999,2320.0,236.67,1.0,2.0,2.0,2.0,2.0,3.0,The main living area has a media wall and Fireplace. The chefs kitchen features top of the line staggered cherry wood cabinets and glass fronts. The guest bedroom is complete with a walk in closet and bath with new low profile entry shower.
85614,single_family,2002.0,283064.0,277918.0,0.9818,1350.0,205.87,1.0,2.0,2.0,2.0,2.0,2.0,"The kitchen is a chef's delight, boasting an abundance of counter space that facilitates effortless meal preparation. The primary suite is a true retreat, offering ample space and a versatile area that can serve as a cozy sitting nook or a dedicated workspace."
85031,single_family,1954.0,326938.0,324934.0,0.9939,1120.0,290.12,1.0,3.0,2.0,2.0,2.0,1.0,The kitchen is a chef's dream with all stainless steel appliances. The covered patio is perfect for entertaining or simply enjoying a quiet evening. The fenced-in backyard provides privacy and security.
85344,single_family,1974.0,358916.0,347071.0,0.967,1820.0,190.7,1.0,4.0,3.0,2.0,4.0,8.0,This home in the Town of Parker offers so much. It also offers a 23'x23' finished garage with a 12 foot high awning over the carport with RV hookups. Located at the edge of town with unobstructed views to the west to enjoy our beautiful sunsets.
85653,single_family,2015.0,432155.0,430090.0,0.9952,2240.0,192.0,1.0,4.0,2.0,2.0,2.0,2.0,"Beautiful 3 BR, 2BA with bonus room and den/office space. Spacious primary bedroom with large walk-in closet, French doors leading to back patio. Enjoy backyard space with artificial turf, fireplace and brick paver patio."
85933,single_family,2018.0,2489943.0,2473228.0,0.9933,3040.0,813.56,2.0,4.0,4.0,3.0,3.0,3.0,20-Acres of Endless Possibilities for this One of a Kind-Easy central access in Overgaard Arizona on the Mogollon Rim. The Property is on 20-acres with A1-GeneraL Zoning along with a private pond and private well.
85143,single_family,2000.0,314808.0,299971.0,0.9529,1440.0,208.31,1.0,3.0,2.0,2.0,2.0,2.0,"The 3-bedroom home in Johnson Ranch is available for sale on a bill of sale outside of escrow. The primary bedroom features soft carpeting, an ensuite with dual sinks, and a walk-in closet."
